ValueStreamID,ValueStreamName,ValueStageID,ValueStageName,ValueStageDescription,ValueStagePolicyBasis,L2CapabilityID,L2CapabilityName,L2CapabilityDescription,L3CapabilityID,L3CapabilityName,L3CapabilityDescription,L3PolicyReference
VS-LTX,Land Tax,LTX-VS1,Maintain Land and Ownership Records,Maintain an accurate and current representation of land and ownership so all Land Tax decisions are based on reliable information.,"Land Tax can only be imposed where taxable land and a legally liable owner are identified. The Land Tax Act 2005 establishes land‑based liability and defines who is taken to be the owner of land for taxation purposes, requiring the State to maintain authoritative land and ownership records.",LTX-L2-PO,Property & Ownership Management (Land Tax),"Manage land, title, ownership, and taxpayer information that underpins Land Tax administration.",LTX-L3-PO-01,Taxable Land Maintenance,Maintain records of land that is subject to Land Tax.,Land Tax Act 2005 — s19 (Taxable value of land)
VS-LTX,Land Tax,LTX-VS1,Maintain Land and Ownership Records,Maintain an accurate and current representation of land and ownership so all Land Tax decisions are based on reliable information.,"Land Tax can only be imposed where taxable land and a legally liable owner are identified. The Land Tax Act 2005 establishes land‑based liability and defines who is taken to be the owner of land for taxation purposes, requiring the State to maintain authoritative land and ownership records.",LTX-L2-PO,Property & Ownership Management (Land Tax),"Manage land, title, ownership, and taxpayer information that underpins Land Tax administration.",LTX-L3-PO-02,Subdivisions / Consolidations,Manage changes to land parcels resulting from subdivision or consolidation.,Land Tax Act 2005 — s22 (Taxable value of parts of land not separately valued)
VS-LTX,Land Tax,LTX-VS1,Maintain Land and Ownership Records,Maintain an accurate and current representation of land and ownership so all Land Tax decisions are based on reliable information.,"Land Tax can only be imposed where taxable land and a legally liable owner are identified. The Land Tax Act 2005 establishes land‑based liability and defines who is taken to be the owner of land for taxation purposes, requiring the State to maintain authoritative land and ownership records.",LTX-L2-PO,Property & Ownership Management (Land Tax),"Manage land, title, ownership, and taxpayer information that underpins Land Tax administration.",LTX-L3-PO-03,Title to Property Relationship,Maintain the relationship between legal land titles and property records.,"Land Tax Act 2005 — s8, s10"
VS-LTX,Land Tax,LTX-VS1,Maintain Land and Ownership Records,Maintain an accurate and current representation of land and ownership so all Land Tax decisions are based on reliable information.,"Land Tax can only be imposed where taxable land and a legally liable owner are identified. The Land Tax Act 2005 establishes land‑based liability and defines who is taken to be the owner of land for taxation purposes, requiring the State to maintain authoritative land and ownership records.",LTX-L2-PO,Property & Ownership Management (Land Tax),"Manage land, title, ownership, and taxpayer information that underpins Land Tax administration.",LTX-L3-PO-04,Ownership Maintenance,Maintain ownership details and ownership changes over time.,"Land Tax Act 2005 — s8, s10"
VS-LTX,Land Tax,LTX-VS1,Maintain Land and Ownership Records,Maintain an accurate and current representation of land and ownership so all Land Tax decisions are based on reliable information.,"Land Tax can only be imposed where taxable land and a legally liable owner are identified. The Land Tax Act 2005 establishes land‑based liability and defines who is taken to be the owner of land for taxation purposes, requiring the State to maintain authoritative land and ownership records.",LTX-L2-PO,Property & Ownership Management (Land Tax),"Manage land, title, ownership, and taxpayer information that underpins Land Tax administration.",LTX-L3-PO-05,Joint Ownership,Manage land owned by more than one party.,Land Tax Act 2005 — s38 (Assessment of joint owners)
VS-LTX,Land Tax,LTX-VS1,Maintain Land and Ownership Records,Maintain an accurate and current representation of land and ownership so all Land Tax decisions are based on reliable information.,"Land Tax can only be imposed where taxable land and a legally liable owner are identified. The Land Tax Act 2005 establishes land‑based liability and defines who is taken to be the owner of land for taxation purposes, requiring the State to maintain authoritative land and ownership records.",LTX-L2-PO,Property & Ownership Management (Land Tax),"Manage land, title, ownership, and taxpayer information that underpins Land Tax administration.",LTX-L3-PO-06,Land Held on Trust,Manage land ownership where land is held under trust arrangements.,Land Tax Act 2005 — ss46A–46M
VS-LTX,Land Tax,LTX-VS1,Maintain Land and Ownership Records,Maintain an accurate and current representation of land and ownership so all Land Tax decisions are based on reliable information.,"Land Tax can only be imposed where taxable land and a legally liable owner are identified. The Land Tax Act 2005 establishes land‑based liability and defines who is taken to be the owner of land for taxation purposes, requiring the State to maintain authoritative land and ownership records.",LTX-L2-PO,Property & Ownership Management (Land Tax),"Manage land, title, ownership, and taxpayer information that underpins Land Tax administration.",LTX-L3-PO-07,Unknown Customer,Manage land or ownership records where the liable party is not yet identified.,Taxation Administration Act 1997 — s11
VS-LTX,Land Tax,LTX-VS2,Determine How Land Is Taxed,Determine the correct Land Tax treatment for land based on ownership structure and circumstances.,"The Land Tax Act 2005 prescribes different tax treatments depending on ownership structure and legal context, including trusts, joint ownership, grouping, absentee ownership, exemptions, and surcharges. The State must determine how land is taxed before liability can be assessed.",LTX-L2-PO,Property & Ownership Management (Land Tax),Interpret ownership context to support correct tax treatment.,LTX-L3-TX-01,Ownership Maintenance,Interpret ownership details to support tax treatment decisions.,"Land Tax Act 2005 — s8, s10"
VS-LTX,Land Tax,LTX-VS2,Determine How Land Is Taxed,Determine the correct Land Tax treatment for land based on ownership structure and circumstances.,"The Land Tax Act 2005 prescribes different tax treatments depending on ownership structure and legal context, including trusts, joint ownership, grouping, absentee ownership, exemptions, and surcharges. The State must determine how land is taxed before liability can be assessed.",LTX-L2-PO,Property & Ownership Management (Land Tax),Interpret ownership context to support correct tax treatment.,LTX-L3-TX-02,Joint Ownership,Determine tax treatment for land owned jointly.,"Land Tax Act 2005 — s38, s40"
VS-LTX,Land Tax,LTX-VS2,Determine How Land Is Taxed,Determine the correct Land Tax treatment for land based on ownership structure and circumstances.,"The Land Tax Act 2005 prescribes different tax treatments depending on ownership structure and legal context, including trusts, joint ownership, grouping, absentee ownership, exemptions, and surcharges. The State must determine how land is taxed before liability can be assessed.",LTX-L2-PO,Property & Ownership Management (Land Tax),Interpret ownership context to support correct tax treatment.,LTX-L3-TX-03,Land Held on Trust,Determine tax treatment for land held under trust arrangements.,Land Tax Act 2005 — ss46A–46M
VS-LTX,Land Tax,LTX-VS2,Determine How Land Is Taxed,Determine the correct Land Tax treatment for land based on ownership structure and circumstances.,"The Land Tax Act 2005 prescribes different tax treatments depending on ownership structure and legal context, including trusts, joint ownership, grouping, absentee ownership, exemptions, and surcharges. The State must determine how land is taxed before liability can be assessed.",LTX-L2-AS,Land Tax Assessment & Determination,Determine whether land is taxable and how Land Tax liability applies.,LTX-L3-AS-01,Determine Land Tax Liability,Determine whether Land Tax applies and how liability is calculated.,Taxation Administration Act 1997 — s8
VS-LTX,Land Tax,LTX-VS3,Assess and Issue Land Tax,Calculate Land Tax liabilities and issue formal assessments to customers.,The Land Tax Act 2005 requires Land Tax to be assessed using prescribed valuation bases and issued to taxpayers once liability is determined. Formal assessment gives legal effect to the tax obligation.,LTX-L2-VAL,Valuation Management (Land Tax),Manage valuation information used to calculate Land Tax liabilities.,LTX-L3-VAL-01,Valuations Maintenance,Maintain valuation data used for Land Tax assessment.,Land Tax Act 2005 — s21
VS-LTX,Land Tax,LTX-VS3,Assess and Issue Land Tax,Calculate Land Tax liabilities and issue formal assessments to customers.,The Land Tax Act 2005 requires Land Tax to be assessed using prescribed valuation bases and issued to taxpayers once liability is determined. Formal assessment gives legal effect to the tax obligation.,LTX-L2-VAL,Valuation Management (Land Tax),Manage valuation information used to calculate Land Tax liabilities.,LTX-L3-VAL-02,General Valuations,Apply standard valuation data for annual assessments.,Land Tax Act 2005 — s21; Part 1 definitions
VS-LTX,Land Tax,LTX-VS3,Assess and Issue Land Tax,Calculate Land Tax liabilities and issue formal assessments to customers.,The Land Tax Act 2005 requires Land Tax to be assessed using prescribed valuation bases and issued to taxpayers once liability is determined. Formal assessment gives legal effect to the tax obligation.,LTX-L2-VAL,Valuation Management (Land Tax),Manage valuation information used to calculate Land Tax liabilities.,LTX-L3-VAL-03,Supplementary Valuations,Apply updated valuations when land circumstances change.,Land Tax Act 2005 — s21
VS-LTX,Land Tax,LTX-VS3,Assess and Issue Land Tax,Calculate Land Tax liabilities and issue formal assessments to customers.,The Land Tax Act 2005 requires Land Tax to be assessed using prescribed valuation bases and issued to taxpayers once liability is determined. Formal assessment gives legal effect to the tax obligation.,LTX-L2-VAL,Valuation Management (Land Tax),Manage valuation information used to calculate Land Tax liabilities.,LTX-L3-VAL-04,SRO Requested Valuations,Manage valuations requested to support assessment decisions.,Land Tax Act 2005 — s21
VS-LTX,Land Tax,LTX-VS3,Assess and Issue Land Tax,Calculate Land Tax liabilities and issue formal assessments to customers.,The Land Tax Act 2005 requires Land Tax to be assessed using prescribed valuation bases and issued to taxpayers once liability is determined. Formal assessment gives legal effect to the tax obligation.,LTX-L2-VAL,Valuation Management (Land Tax),Manage valuation information used to calculate Land Tax liabilities.,LTX-L3-VAL-05,Single Valuation for Multiple Properties,Apply a single valuation across related properties where appropriate.,Land Tax Act 2005 — s36
VS-LTX,Land Tax,LTX-VS3,Assess and Issue Land Tax,Calculate Land Tax liabilities and issue formal assessments to customers.,The Land Tax Act 2005 requires Land Tax to be assessed using prescribed valuation bases and issued to taxpayers once liability is determined. Formal assessment gives legal effect to the tax obligation.,LTX-L2-AS,Land Tax Assessment & Determination,Calculate and formalise Land Tax assessments.,LTX-L3-AS-02,Generate Land Tax Assessments,Generate assessment outcomes for Land Tax.,"Taxation Administration Act 1997 — s8, s11"
VS-LTX,Land Tax,LTX-VS3,Assess and Issue Land Tax,Calculate Land Tax liabilities and issue formal assessments to customers.,The Land Tax Act 2005 requires Land Tax to be assessed using prescribed valuation bases and issued to taxpayers once liability is determined. Formal assessment gives legal effect to the tax obligation.,LTX-L2-AS,Land Tax Assessment & Determination,Calculate and formalise Land Tax assessments.,LTX-L3-AS-03,Issue Land Tax Assessments,Issue formal Land Tax assessments to customers.,"Taxation Administration Act 1997 — s14, s14A"
VS-LTX,Land Tax,LTX-VS4,Manage Payments and Adjustments,"Settle Land Tax liabilities through payments, refunds, instalments, and adjustments.","The Taxation Administration Act 1997 governs the collection of tax, payment arrangements, refunds, interest, and adjustments once Land Tax is assessed.",LTX-L2-PAY,"Payments, Refunds & Financial Settlement (Land Tax)",Manage the financial lifecycle of Land Tax liabilities.,LTX-L3-PAY-01,Payment Management,Receive and manage Land Tax payments.,Taxation Administration Act 1997 — s44
VS-LTX,Land Tax,LTX-VS4,Manage Payments and Adjustments,"Settle Land Tax liabilities through payments, refunds, instalments, and adjustments.","The Taxation Administration Act 1997 governs the collection of tax, payment arrangements, refunds, interest, and adjustments once Land Tax is assessed.",LTX-L2-PAY,"Payments, Refunds & Financial Settlement (Land Tax)",Manage the financial lifecycle of Land Tax liabilities.,LTX-L3-PAY-02,Payment Allocation Management,Allocate payments to the correct Land Tax liabilities.,Taxation Administration Act 1997 — s20A
VS-LTX,Land Tax,LTX-VS4,Manage Payments and Adjustments,"Settle Land Tax liabilities through payments, refunds, instalments, and adjustments.","The Taxation Administration Act 1997 governs the collection of tax, payment arrangements, refunds, interest, and adjustments once Land Tax is assessed.",LTX-L2-PAY,"Payments, Refunds & Financial Settlement (Land Tax)",Manage the financial lifecycle of Land Tax liabilities.,LTX-L3-PAY-03,Instalment Management,Manage instalment arrangements for paying Land Tax.,Taxation Administration Act 1997 — s49
VS-LTX,Land Tax,LTX-VS4,Manage Payments and Adjustments,"Settle Land Tax liabilities through payments, refunds, instalments, and adjustments.","The Taxation Administration Act 1997 governs the collection of tax, payment arrangements, refunds, interest, and adjustments once Land Tax is assessed.",LTX-L2-PAY,"Payments, Refunds & Financial Settlement (Land Tax)",Manage the financial lifecycle of Land Tax liabilities.,LTX-L3-PAY-04,Refund Management,Process refunds arising from overpayment or reassessment.,Taxation Administration Act 1997 — ss19–20
VS-LTX,Land Tax,LTX-VS4,Manage Payments and Adjustments,"Settle Land Tax liabilities through payments, refunds, instalments, and adjustments.","The Taxation Administration Act 1997 governs the collection of tax, payment arrangements, refunds, interest, and adjustments once Land Tax is assessed.",LTX-L2-PAY,"Payments, Refunds & Financial Settlement (Land Tax)",Manage the financial lifecycle of Land Tax liabilities.,LTX-L3-PAY-05,Adjustment Management,Apply financial adjustments following changes to assessments.,"Taxation Administration Act 1997 — s9, s15"
VS-LTX,Land Tax,LTX-VS5,Resolve Issues and Enforce Compliance,Resolve objections and disputes and ensure compliance with Land Tax obligations.,"The Taxation Administration Act 1997 establishes taxpayer objection rights and grants the Commissioner powers to audit, investigate, enforce compliance, and recover unpaid tax.",LTX-L2-CMP,"Objections, Disputes & Compliance (Land Tax)","Manage disputes, objections, and compliance activities to protect the integrity of Land Tax administration.",LTX-L3-CMP-01,Objection Management,Manage objections to Land Tax decisions.,Taxation Administration Act 1997 — s96
VS-LTX,Land Tax,LTX-VS5,Resolve Issues and Enforce Compliance,Resolve objections and disputes and ensure compliance with Land Tax obligations.,"The Taxation Administration Act 1997 establishes taxpayer objection rights and grants the Commissioner powers to audit, investigate, enforce compliance, and recover unpaid tax.",LTX-L2-CMP,"Objections, Disputes & Compliance (Land Tax)","Manage disputes, objections, and compliance activities to protect the integrity of Land Tax administration.",LTX-L3-CMP-02,Valuation Objection Management,Manage objections relating specifically to valuations.,Taxation Administration Act 1997 — s100A
VS-LTX,Land Tax,LTX-VS5,Resolve Issues and Enforce Compliance,Resolve objections and disputes and ensure compliance with Land Tax obligations.,"The Taxation Administration Act 1997 establishes taxpayer objection rights and grants the Commissioner powers to audit, investigate, enforce compliance, and recover unpaid tax.",LTX-L2-CMP,"Objections, Disputes & Compliance (Land Tax)","Manage disputes, objections, and compliance activities to protect the integrity of Land Tax administration.",LTX-L3-CMP-03,Dispute Resolution Management,Resolve disputes arising from Land Tax matters.,Taxation Administration Act 1997 — s106
VS-LTX,Land Tax,LTX-VS5,Resolve Issues and Enforce Compliance,Resolve objections and disputes and ensure compliance with Land Tax obligations.,"The Taxation Administration Act 1997 establishes taxpayer objection rights and grants the Commissioner powers to audit, investigate, enforce compliance, and recover unpaid tax.",LTX-L2-CMP,"Objections, Disputes & Compliance (Land Tax)","Manage disputes, objections, and compliance activities to protect the integrity of Land Tax administration.",LTX-L3-CMP-04,Case Management,Manage Land Tax cases across their lifecycle.,"Taxation Administration Act 1997 — s72–73, s101"
VS-LTX,Land Tax,LTX-VS5,Resolve Issues and Enforce Compliance,Resolve objections and disputes and ensure compliance with Land Tax obligations.,"The Taxation Administration Act 1997 establishes taxpayer objection rights and grants the Commissioner powers to audit, investigate, enforce compliance, and recover unpaid tax.",LTX-L2-CMP,"Objections, Disputes & Compliance (Land Tax)","Manage disputes, objections, and compliance activities to protect the integrity of Land Tax administration.",LTX-L3-CMP-05,Compliance Management,Monitor and address non‑compliance with Land Tax obligations.,Taxation Administration Act 1997 — s45
VS-LTX,Land Tax,LTX-VS5,Resolve Issues and Enforce Compliance,Resolve objections and disputes and ensure compliance with Land Tax obligations.,"The Taxation Administration Act 1997 establishes taxpayer objection rights and grants the Commissioner powers to audit, investigate, enforce compliance, and recover unpaid tax.",LTX-L2-CMP,"Objections, Disputes & Compliance (Land Tax)","Manage disputes, objections, and compliance activities to protect the integrity of Land Tax administration.",LTX-L3-CMP-06,Audit Management,Conduct audit activities to validate correctness and compliance.,Taxation Administration Act 1997 — Part 9
VS-LTX,Land Tax,LTX-VS5,Resolve Issues and Enforce Compliance,Resolve objections and disputes and ensure compliance with Land Tax obligations.,"The Taxation Administration Act 1997 establishes taxpayer objection rights and grants the Commissioner powers to audit, investigate, enforce compliance, and recover unpaid tax.",LTX-L2-CMP,"Objections, Disputes & Compliance (Land Tax)","Manage disputes, objections, and compliance activities to protect the integrity of Land Tax administration.",LTX-L3-CMP-07,Risk Management,Identify and manage risks associated with Land Tax administration.,Taxation Administration Act 1997 — s63
VS-LTX,Land Tax,LTX-VS5,Resolve Issues and Enforce Compliance,Resolve objections and disputes and ensure compliance with Land Tax obligations.,"The Taxation Administration Act 1997 establishes taxpayer objection rights and grants the Commissioner powers to audit, investigate, enforce compliance, and recover unpaid tax.",LTX-L2-CMP,"Objections, Disputes & Compliance (Land Tax)","Manage disputes, objections, and compliance activities to protect the integrity of Land Tax administration.",LTX-L3-CMP-08,Quality Assurance Management,Ensure accuracy and consistency of Land Tax decisions.,Taxation Administration Act 1997 — s127–128
VS-LTX,Land Tax,LTX-VS6,Provide Certificates and Assurance,Provide trusted evidence of Land Tax status relied on by customers and third parties.,The Taxation Administration Act 1997 authorises evidentiary instruments and certification used to provide legal assurance of tax status.,LTX-L2-CERT,Certificates & Notifications (Land Tax),Provide certificates and evidence confirming Land Tax status.,LTX-L3-CERT-01,Issue Land Tax Certificates,Issue certificates confirming Land Tax status for land.,Taxation Administration Act 1997 — s128
VS-LTX,Land Tax,LTX-VS6,Provide Certificates and Assurance,Provide trusted evidence of Land Tax status relied on by customers and third parties.,The Taxation Administration Act 1997 authorises evidentiary instruments and certification used to provide legal assurance of tax status.,LTX-L2-CERT,Certificates & Notifications (Land Tax),Provide certificates and evidence confirming Land Tax status.,LTX-L3-CERT-02,Certificate Evidence & Record Management,Maintain records and evidence supporting issued certificates.,Taxation Administration Act 1997 — s128–129
